id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32987,0,-,山田 友哉,PG/SG,18:32,12,4,9,44.4%,3,6,50.0%,1,2,50.0%,0,1,1,0,1,0,0,0,1,5,10
8767,1,〇,中島 良史,PG/SG,34:08,21,7,13,53.8%,7,10,70.0%,0,0,-,1,4,5,3,0,0,0,0,4,1,20
9279,8,-,五十嵐 貴志,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
20022,10,-,髙橋 浩平,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
26907,15,-,オーランド・サンチェス,SF,15:40,3,1,6,16.7%,1,3,33.3%,0,0,-,1,4,5,4,0,2,0,0,4,0,5
32988,25,〇,ケニー・ローソン・ジュニア,C,30:37,9,3,12,25.0%,2,6,33.3%,1,4,25.0%,2,12,14,2,0,0,1,0,4,5,15
8604,27,-,眞庭 城聖,SF,22:20,0,0,3,0.0%,0,2,0.0%,0,0,-,0,2,2,4,0,0,0,0,3,3,3
12580,31,〇,ジャワッド・ウィリアムズ,PF,33:43,14,3,5,60.0%,2,2,100.0%,6,6,100.0%,0,3,3,1,1,0,0,1,2,3,15
8606,37,〇,河野 誠司,PG,34:25,15,5,10,50.0%,2,6,33.3%,3,3,100.0%,0,2,2,2,3,4,0,0,2,1,14
15822,95,〇,齋藤 瑠偉,SG,10:34,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,-4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0
,,,合計,,200:00,74,23,60,38.3%,17,36,47.2%,11,15,73.3%,4,28,32,16,7,6,1,1,22,18,77
