id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
51000119,2,-,加藤 嵩都,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8784,3,-,ファイ サンバ,C,20:22,6,3,7,42.9%,0,1,0.0%,0,0,-,2,2,4,1,0,0,1,1,1,0,6
30462,5,〇,磯野 寛晃,SG/SF,28:50,2,1,2,50.0%,0,0,-,0,0,-,1,4,5,4,0,4,1,0,2,2,15
10883,6,-,柿内 輝心,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
32989,8,-,LJ・ピーク,SF,20:20,36,15,20,75.0%,2,4,50.0%,4,4,100.0%,0,2,2,1,0,1,0,0,3,4,36
20036,14,〇,本村 亮輔,SG,32:51,10,4,6,66.7%,0,0,-,2,6,33.3%,3,2,5,2,0,2,0,0,3,3,13
5100000019,18,-,藤澤 尚之,PG,09:33,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,3,2
20037,24,〇,佐々木 隆成,PG/SG,30:27,12,6,11,54.5%,0,0,-,0,0,-,2,2,4,2,2,0,0,0,0,0,11
33038,25,〇,ジョーダン・ハミルトン,SF/PF,32:00,30,13,24,54.2%,0,2,0.0%,4,7,57.1%,2,10,12,14,6,2,0,1,2,6,41
30443,27,-,ウィタカ ケンタ,C/PF,03:37,5,2,2,100.0%,0,0,-,1,2,50.0%,0,0,0,0,0,0,0,0,0,1,5
18442,34,〇,ベンジャミン・ローソン,C/PF,22:00,13,5,9,55.6%,0,0,-,3,3,100.0%,4,6,10,2,0,0,2,0,2,3,24
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,114,49,83,59.0%,2,7,28.6%,14,22,63.6%,15,31,46,26,8,9,4,2,13,22,156
