id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8721,0,-,川村 卓也,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8680,1,〇,今野 翔太,SG/SF,09:10,0,0,3,0.0%,0,1,0.0%,0,0,-,1,0,1,1,0,0,0,1,2,1,-3
8535,3,〇,松崎 賢人,PG,19:04,7,3,6,50.0%,0,0,-,1,2,50.0%,0,0,0,1,1,1,0,0,0,5,9
20027,8,-,濵高 康明,SG,14:38,4,2,2,100.0%,0,0,-,0,0,-,0,0,0,3,0,3,0,0,1,0,9
8536,9,-,谷 直樹,SF,23:29,10,2,7,28.6%,2,3,66.7%,4,4,100.0%,1,1,2,3,0,2,0,1,3,2,10
8552,10,-,渡邊 翔太,PG,14:21,3,1,3,33.3%,0,0,-,1,2,50.0%,0,1,1,3,0,0,0,0,1,1,4
9347,11,-,中西 良太,PF,16:25,4,2,3,66.7%,0,0,-,0,0,-,1,4,5,1,2,0,1,1,2,0,5
8538,13,〇,道原 紀晃,PG/SG,22:53,9,2,3,66.7%,1,1,100.0%,4,4,100.0%,0,0,0,4,3,0,0,0,4,1,6
33042,18,〇,デクアン・ジョーンズ,SF/PF,24:55,21,6,14,42.9%,3,9,33.3%,6,7,85.7%,0,6,6,3,1,2,0,0,4,6,24
33043,22,〇,シェイク・ムボジ,C,34:20,8,1,8,12.5%,0,0,-,6,6,100.0%,1,13,14,1,2,0,0,1,4,4,12
9061,23,-,劉 瑾,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000050,24,-,シャキール・ハインズ,SF/PF,20:45,10,4,10,40.0%,1,3,33.3%,1,2,50.0%,1,3,4,2,2,0,0,0,1,2,8
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,1,0,0,0,1,0,0
,,,合計,,200:00,76,23,59,39.0%,7,17,41.2%,23,27,85.2%,7,30,37,22,12,8,1,4,23,22,87
