id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8618,6,-,藤岡 昂希,SF,16:43,2,0,1,0.0%,0,1,0.0%,2,4,50.0%,0,3,3,3,1,0,0,0,0,2,6
8542,8,〇,下山 大地,SG,24:27,6,2,8,25.0%,2,5,40.0%,0,0,-,0,1,1,0,0,0,0,1,1,0,-1
10299,9,-,野里 惇貴,SG,09:25,3,1,3,33.3%,1,3,33.3%,0,0,-,0,2,2,0,1,2,0,0,1,0,3
5100000032,11,〇,駒沢 颯,PG,25:36,12,5,13,38.5%,0,4,0.0%,2,2,100.0%,1,4,5,2,1,0,0,1,2,2,9
10877,22,〇,門馬 圭二郎,SG/SF,24:03,10,3,4,75.0%,3,3,100.0%,1,2,50.0%,0,2,2,1,0,1,0,0,5,5,12
5100000071,25,〇,レナルド・ディクソン,C,37:07,21,8,15,53.3%,0,2,0.0%,5,6,83.3%,5,3,8,4,3,3,1,2,4,3,23
15751,30,-,ラキーム・ジャクソン,SF,10:59,0,0,4,0.0%,0,2,0.0%,0,0,-,1,0,1,3,1,0,0,0,0,0,-1
18170,32,〇,臼井 弘樹,PF,31:30,9,3,5,60.0%,1,2,50.0%,2,3,66.7%,1,1,2,1,5,0,0,0,3,3,4
8711,33,-,喜久山 貴一,PG,16:03,6,2,3,66.7%,2,3,66.7%,0,0,-,0,1,1,1,4,2,0,0,1,2,6
15759,44,-,伊藤 大和,PG/SG,04:07,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,69,24,57,42.1%,9,25,36.0%,12,17,70.6%,9,19,28,15,16,8,1,4,17,17,63
