id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8643,0,〇,畠山 俊樹,PG/SG,12:20,0,0,4,0.0%,0,3,0.0%,0,0,-,1,2,3,1,3,2,0,0,1,0,-2
5100000089,1,-,ブラクストン・ハギンズ,09:40,3,1,4,25.0%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,4,1,-2,
9214,3,-,横塚 蛍,PG/SG,03:26,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,2,0,0,0,0,0,-3
8591,5,〇,アイザック・バッツ,C,32:30,14,6,11,54.5%,0,0,-,2,2,100.0%,9,13,22,1,4,1,0,1,3,2,27
20023,7,-,松山 駿,PG,27:21,19,7,11,63.6%,4,6,66.7%,1,2,50.0%,0,1,1,1,1,2,0,0,3,5,19
8594,8,〇,長谷川 智也,SG,24:49,5,2,7,28.6%,1,4,25.0%,0,0,-,2,1,3,4,2,0,0,0,4,0,1
8522,15,-,ソウ シェリフ,SF/PF,07:23,3,0,0,-,0,0,-,3,4,75.0%,0,1,1,0,0,0,0,0,3,2,2
9220,17,-,田村 晋,SF/PF,05:47,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,1,1,0,0,0,0,0,-2
22486,21,〇,鎌田 真,SG,16:26,4,1,3,33.3%,0,1,0.0%,2,2,100.0%,1,1,2,0,1,1,0,0,2,1,3
10817,33,〇,クレイグ・ブラッキンズ,C/PF,30:11,15,6,16,37.5%,3,6,50.0%,0,0,-,2,6,8,5,3,0,2,0,0,4,21
12658,49,-,飯田 鴻朗,PG,20:12,11,4,5,80.0%,1,1,100.0%,2,2,100.0%,0,0,0,3,2,2,0,0,1,1,13
8648,91,-,落合 知也,SF/PF,09:55,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,2,0,0,0,0,0,1,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,4,7,0,0,0,0,0,0,0,0
,,,合計,,200:00,76,28,66,42.4%,10,27,37.0%,10,12,83.3%,18,30,48,18,19,8,2,1,21,17,88
