id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9221,7,-,筑波 拓朗,SF,16:56,2,1,3,33.3%,0,2,0.0%,0,0,-,0,2,2,0,2,0,0,1,3,0,-4
9413,9,-,矢代 雪次郎,PG/SG,01:58,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0
33026,11,-,森田 雄次,PG,08:50,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,1,1,0,0,1,4,0,-8
33039,12,〇,アンガス・ブラント,C,32:44,23,9,15,60.0%,1,2,50.0%,4,6,66.7%,6,9,15,6,3,1,2,0,1,6,41
8488,15,〇,谷口 光貴,SG/SF,26:24,3,1,9,11.1%,1,6,16.7%,0,0,-,0,3,3,2,1,1,0,0,1,1,0
15826,17,〇,飯田 遼,SG/SF,24:03,5,2,7,28.6%,1,6,16.7%,0,0,-,1,1,2,0,0,2,0,0,2,0,2
18174,24,-,伊集 貴也,PG,12:29,0,0,4,0.0%,0,4,0.0%,0,0,-,0,2,2,1,2,1,0,0,1,0,-3
33027,25,〇,リース・ヴァーグ,PF,37:20,22,8,15,53.3%,0,4,0.0%,6,7,85.7%,2,7,9,3,6,2,2,0,2,6,28
9218,34,〇,兒玉 貴通,PG,30:23,14,6,13,46.2%,1,6,16.7%,1,3,33.3%,1,4,5,11,3,0,0,1,1,2,18
10262,45,-,頓宮 裕人,C/PF,08:53,8,4,4,100.0%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0,0,2,1,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,5,1,6,0,0,0,0,0,0,0,0
,,,合計,,200:00,77,31,73,42.5%,4,33,12.1%,11,17,64.7%,15,30,45,24,19,7,4,3,17,16,86
