id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8784,3,-,ファイ サンバ,C,14:41,2,1,5,20.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,1,0,3,1,-2
30462,5,-,磯野 寛晃,SG/SF,10:06,0,0,0,-,0,0,-,0,0,-,1,0,1,1,1,1,0,0,2,0,0
32989,8,-,LJ・ピーク,SF,29:18,25,6,21,28.6%,4,15,26.7%,9,10,90.0%,1,4,5,2,2,3,0,0,4,6,18
15750,12,〇,木田 貴明,SF,34:12,13,5,11,45.5%,2,7,28.6%,1,1,100.0%,1,4,5,4,1,0,0,1,3,2,13
20036,14,〇,本村 亮輔,SG,08:47,4,2,2,100.0%,0,0,-,0,0,-,0,1,1,1,2,1,0,0,2,0,3
5100000019,18,-,藤澤 尚之,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
20037,24,-,佐々木 隆成,PG/SG,18:40,4,2,7,28.6%,0,3,0.0%,0,0,-,0,0,0,2,1,1,0,0,2,1,0
33038,25,〇,ジョーダン・ハミルトン,SF/PF,06:24,0,0,3,0.0%,0,3,0.0%,0,0,-,0,2,2,2,0,2,0,0,0,0,3
30443,27,-,ウィタカ ケンタ,C/PF,15:15,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,0,0,0,0,0,3,2,3
9348,30,〇,古野 拓巳,PG,23:29,9,3,7,42.9%,0,2,0.0%,3,3,100.0%,1,3,4,3,0,2,0,0,0,2,16
18442,34,〇,ベンジャミン・ローソン,C/PF,39:08,13,5,11,45.5%,0,0,-,3,4,75.0%,3,7,10,6,5,2,4,0,0,2,25
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,72,25,68,36.8%,6,31,19.4%,16,18,88.9%,9,25,34,21,13,12,5,1,19,16,81
