id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32987,0,-,山田 友哉,PG/SG,12:38,8,2,3,66.7%,1,2,50.0%,3,3,100.0%,0,0,0,0,0,3,0,0,2,1,9
8767,1,〇,中島 良史,PG/SG,16:50,2,1,6,16.7%,0,2,0.0%,0,0,-,1,2,3,1,1,0,0,1,3,0,-4
9279,8,-,五十嵐 貴志,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
20022,10,〇,髙橋 浩平,PF,04:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,-1
26907,15,-,オーランド・サンチェス,SF,11:50,2,1,3,33.3%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2,1,-2
10297,21,-,田原 隆徳,PG/SG,15:37,2,1,4,25.0%,0,3,0.0%,0,0,-,0,0,0,2,0,0,0,0,2,1,0
8615,23,-,村上 駿斗,PG/SG,22:01,8,4,9,44.4%,0,2,0.0%,0,0,-,2,1,3,0,1,0,0,0,2,1,4
32988,25,-,ケニー・ローソン・ジュニア,C,34:31,11,4,11,36.4%,0,2,0.0%,3,4,75.0%,4,8,12,2,1,0,0,1,3,5,17
8604,27,-,眞庭 城聖,SF,06:54,0,0,2,0.0%,0,1,0.0%,0,0,-,0,2,2,0,1,0,0,0,0,1,0
10880,28,〇,川邉 亮平,SF,16:27,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,1,1,1,0,0,0,0,-3
12580,31,〇,ジャワッド・ウィリアムズ,PF,28:57,17,6,13,46.2%,0,4,0.0%,5,6,83.3%,0,6,6,3,2,1,0,0,4,5,18
8606,37,〇,河野 誠司,PG,29:33,13,4,9,44.4%,3,5,60.0%,2,2,100.0%,0,4,4,2,0,2,0,0,2,2,16
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,63,23,65,35.4%,4,24,16.7%,13,15,86.7%,9,26,35,11,8,7,0,2,21,17,58
