id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8618,6,-,藤岡 昂希,SF,18:14,4,2,7,28.6%,0,3,0.0%,0,0,-,0,3,3,1,2,0,0,1,3,0,-3
8542,8,〇,下山 大地,SG,12:00,4,2,4,50.0%,0,2,0.0%,0,0,-,0,2,2,1,0,0,0,0,1,0,4
10299,9,-,野里 惇貴,SG,04:48,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
5100000032,11,〇,駒沢 颯,PG,28:30,22,9,16,56.3%,1,6,16.7%,3,3,100.0%,2,3,5,4,2,1,0,0,4,6,25
5100000085,19,-,カマーク・カリノ,PF,07:35,0,0,3,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,1,0,0,1,0,-2
10877,22,〇,門馬 圭二郎,SG/SF,27:22,3,1,4,25.0%,1,3,33.3%,0,0,-,0,2,2,0,0,1,0,0,2,1,2
5100000071,25,〇,レナルド・ディクソン,C,30:34,10,4,10,40.0%,0,0,-,2,2,100.0%,2,7,9,2,2,1,4,0,3,1,16
18170,32,〇,臼井 弘樹,PF,36:15,6,2,10,20.0%,1,3,33.3%,1,2,50.0%,3,6,9,0,2,1,0,0,2,5,8
8711,33,-,喜久山 貴一,PG,18:39,4,2,5,40.0%,0,2,0.0%,0,0,-,0,1,1,0,0,0,0,0,5,0,-3
15759,44,-,伊藤 大和,PG/SG,16:02,2,1,5,20.0%,0,3,0.0%,0,0,-,0,2,2,2,0,0,0,0,1,0,1
