id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8614,2,-,山本 柊輔,PG,16:17,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,4,1,2,0,1,2,0,-2
27051,4,〇,ユージーン・フェルプス,PF,34:50,32,15,21,71.4%,0,0,-,2,3,66.7%,8,10,18,4,3,0,1,1,1,4,47
8531,7,〇,坂田 央,SF,25:00,0,0,5,0.0%,0,2,0.0%,0,0,-,1,2,3,2,1,0,0,0,2,1,-2
8472,8,-,八幡 圭祐,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9339,9,-,坂井 耀平,PG,01:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9433,12,-,アンドリュー・フィッツジェラルド,C/PF,29:50,21,7,13,53.8%,0,1,0.0%,7,8,87.5%,3,4,7,2,0,1,1,0,3,5,27
8599,13,〇,俊野 佳彦,SG,34:21,14,4,11,36.4%,2,6,33.3%,4,4,100.0%,0,0,0,2,1,0,0,0,1,3,10
15757,14,-,石井 峻平,SG,05:39,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,2,0,0,0,0,2,1,3
51000101,15,〇,ライアン・クリーナー,PF,15:20,7,3,8,37.5%,1,5,20.0%,0,1,0.0%,0,6,6,1,0,0,1,0,4,1,6
8731,31,-,城宝 匡史,SG,15:00,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,2,0,0,0,1,0,-3
8598,33,〇,俊野 達彦,PG/SG,22:14,7,3,6,50.0%,1,1,100.0%,0,0,-,0,2,2,4,2,1,0,1,4,0,4
