id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9221,7,〇,筑波 拓朗,SF,18:27,4,1,3,33.3%,1,3,33.3%,1,2,50.0%,0,2,2,0,3,0,0,0,1,1,0
9413,9,-,矢代 雪次郎,PG/SG,00:02,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
33026,11,-,森田 雄次,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
33039,12,〇,アンガス・ブラント,C,28:08,4,2,6,33.3%,0,2,0.0%,0,1,0.0%,1,7,8,3,1,7,1,0,3,3,17
8488,15,〇,谷口 光貴,SG/SF,26:38,15,5,11,45.5%,5,10,50.0%,0,0,-,1,4,5,1,0,1,0,2,2,0,12
15826,17,-,飯田 遼,SG/SF,17:14,0,0,3,0.0%,0,3,0.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,-4
18174,24,-,伊集 貴也,PG,12:53,5,1,3,33.3%,1,3,33.3%,2,4,50.0%,0,2,2,2,1,1,0,0,3,2,4
33027,25,-,リース・ヴァーグ,PF,17:00,8,4,10,40.0%,0,4,0.0%,0,0,-,3,3,6,4,1,0,0,1,3,1,8
10836,29,-,安部 瑞基,SG,15:33,11,4,8,50.0%,3,6,50.0%,0,0,-,0,0,0,0,1,0,1,0,1,0,6
10831,30,〇,テレンス・ウッドベリー,SF/PF,34:52,24,7,15,46.7%,2,5,40.0%,8,11,72.7%,1,5,6,7,3,0,0,1,0,9,31
9218,34,〇,兒玉 貴通,PG,27:05,17,7,8,87.5%,3,4,75.0%,0,0,-,0,1,1,6,0,1,0,0,3,0,21
10262,45,-,頓宮 裕人,C/PF,02:08,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,0,0,0,2
