id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30397,2,-,栗原 翼,PG/SG,06:19,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,1,1,0,0,0,2,0,-2
5100000090,3,〇,マーク・バートン,PG/SG,16:39,4,2,5,40.0%,0,2,0.0%,0,0,-,0,0,0,2,2,0,0,1,2,0,-2
9431,7,〇,ジョシュア・クロフォード,C,35:50,20,7,16,43.8%,2,5,40.0%,4,4,100.0%,9,10,19,0,1,2,2,0,2,4,35
8537,13,-,坂井 レオ,C/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18478,14,〇,久岡 幸太郎,PG,35:53,6,2,5,40.0%,1,4,25.0%,1,1,100.0%,0,2,2,5,3,0,0,0,2,2,7
9064,21,〇,増子 匠,SG,39:23,16,7,12,58.3%,2,7,28.6%,0,0,-,0,1,1,4,2,0,0,0,2,1,13
5100000091,22,-,パット・アンドレー,PF,07:19,0,0,2,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,-3
30441,24,-,髙木 慎哉,SG,21:46,5,1,5,20.0%,1,5,20.0%,2,3,66.7%,0,1,1,1,0,0,1,0,1,3,5
5100000092,25,〇,マーク エディ・ノエリア,C/PF,35:09,16,8,16,50.0%,0,0,-,0,1,0.0%,3,9,12,1,1,0,0,1,1,2,19
51000099,27,-,山ノ内 勇登 ウィリアムズ,PF,01:42,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0
