id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000073,0,〇,ジェローム・ジョーダン,C,32:48,23,6,12,50.0%,0,0,-,11,14,78.6%,1,13,14,1,2,0,1,1,4,10,33
5100000074,1,-,ステッドモン・レモン,SF,23:03,28,12,17,70.6%,4,6,66.7%,0,0,-,0,3,3,5,4,0,0,0,1,0,26
8518,6,-,大塚 勇人,PG,08:42,3,1,3,33.3%,1,2,50.0%,0,0,-,0,1,1,2,0,0,0,0,0,2,6
51000122,7,〇,石橋 侑磨,SG,34:39,13,4,8,50.0%,3,6,50.0%,2,2,100.0%,0,5,5,0,1,2,0,0,1,2,16
5100000075,9,-,重冨 友希,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
15832,11,〇,白戸 大聖,SG,34:39,11,4,9,44.4%,1,4,25.0%,2,2,100.0%,0,2,2,6,6,1,0,0,4,2,7
5100000094,12,-,林 郅為,PF,05:26,2,1,1,100.0%,0,0,-,0,0,-,0,3,3,0,1,0,0,0,2,0,2
8742,18,〇,菅 俊男,SG/SF,31:18,8,3,5,60.0%,1,1,100.0%,1,2,50.0%,1,5,6,11,3,2,0,1,4,2,18
51000121,23,-,石井 智大,SG,05:21,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,1
12601,44,-,丹野 合気,PG,05:21,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,-2
5100000004,55,〇,ジェラルド・ビバリー,C/PF,18:43,9,3,5,60.0%,0,0,-,3,3,100.0%,0,1,1,1,0,1,0,0,1,2,11
5100000076,88,-,重冨 周希,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
