id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8721,0,-,川村 卓也,SG,14:34,0,0,3,0.0%,0,1,0.0%,0,0,-,0,3,3,2,0,0,0,0,3,2,1
8680,1,〇,今野 翔太,SG/SF,10:51,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,1
8535,3,〇,松崎 賢人,PG,15:54,3,1,3,33.3%,1,1,100.0%,0,0,-,0,1,1,5,4,0,0,0,3,1,1
20027,8,-,濵高 康明,SG,06:47,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8536,9,-,谷 直樹,SF,06:52,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,2,0,-2
8552,10,-,渡邊 翔太,PG,24:06,4,2,6,33.3%,0,2,0.0%,0,0,-,0,1,1,4,1,0,0,0,2,1,3
9347,11,〇,中西 良太,PF,23:01,5,2,2,100.0%,0,0,-,1,2,50.0%,1,4,5,0,1,0,0,0,3,1,6
8538,13,-,道原 紀晃,PG/SG,17:55,9,4,7,57.1%,1,2,50.0%,0,0,-,2,3,5,2,2,0,1,0,3,0,9
33042,18,〇,デクアン・ジョーンズ,SF/PF,33:06,16,6,15,40.0%,3,6,50.0%,1,2,50.0%,0,8,8,3,3,2,0,0,1,2,17
33043,22,-,シェイク・ムボジ,C,19:42,16,6,8,75.0%,0,0,-,4,6,66.7%,0,2,2,0,3,0,0,0,2,7,16
9061,23,-,劉 瑾,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000050,24,〇,シャキール・ハインズ,SF/PF,27:12,14,6,13,46.2%,1,4,25.0%,1,3,33.3%,0,1,1,0,1,0,0,1,2,2,4
