id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18424,1,-,ブライアン・ヴォールケル,PF,23:08,5,2,4,50.0%,1,2,50.0%,0,0,-,3,8,11,8,2,4,0,0,2,0,0,24
9071,2,〇,ウィル・クリークモア,PF,23:39,23,10,12,83.3%,2,3,66.7%,1,1,100.0%,0,2,2,3,1,0,1,0,4,0,0,26
36850,6,〇,ライアン・ワトキンス,C,28:28,17,7,15,46.7%,1,5,20.0%,2,2,100.0%,3,9,12,1,1,3,1,0,0,0,0,25
22395,7,〇,長島 蓮,PG,14:45,4,2,4,50.0%,0,0,-,0,0,-,0,1,1,5,1,1,0,0,3,0,0,8
15824,8,〇,新川 敬大,SG,21:09,7,3,6,50.0%,1,3,33.3%,0,0,-,1,1,2,1,0,0,0,0,0,0,0,7
10892,9,-,中野 広大,SG,22:32,15,6,11,54.5%,3,5,60.0%,0,0,-,0,0,0,2,0,0,0,1,1,0,0,12
8600,11,-,岡本 将大,PG,08:14,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,2,0,0,0,2,0,0,0
8480,14,〇,佐藤 文哉,SG,22:19,14,4,10,40.0%,4,9,44.4%,2,3,66.7%,0,0,0,2,0,2,0,0,2,0,0,11
8544,15,-,下山 貴裕,PF,04:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,1,0,0,2,0,0,0
36420,21,-,野原 暉央,SG,14:00,11,4,6,66.7%,1,3,33.3%,2,4,50.0%,0,1,1,0,0,0,0,0,1,0,0,8
15836,32,-,吉川 治耀,PG,17:01,4,2,3,66.7%,0,0,-,0,0,-,0,0,0,5,1,0,0,0,1,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,5,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,102,41,72,56.9%,13,30,43.3%,7,10,70.0%,8,27,35,27,9,11,2,1,18,0,0,134
