id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9277,3,〇,髙橋 理輝,PG,23:46,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,2,2,1,0,0,5,0,0,1
9360,5,-,マーカス・ダブ,PF,27:44,17,6,8,75.0%,1,1,100.0%,4,5,80.0%,4,14,18,1,3,1,0,1,2,0,0,31
8546,6,-,長澤 健司,SG,14:33,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,2,0,0,-3
10853,7,-,寺部 亮佑,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
32958,10,-,村岸 航,SF,19:25,10,4,11,36.4%,1,5,20.0%,1,3,33.3%,0,1,1,0,1,0,1,1,3,0,0,2
9332,11,〇,ナイジェル・スパイクス,C,16:22,6,3,6,50.0%,0,1,0.0%,0,0,-,1,4,5,1,4,1,0,1,4,0,0,6
20001,27,-,鈴木 空,PG,16:14,11,4,8,50.0%,1,3,33.3%,2,2,100.0%,0,0,0,1,1,0,0,1,2,0,0,7
9285,33,〇,藤田 俊祐,SF,21:27,9,4,9,44.4%,1,4,25.0%,0,0,-,0,0,0,0,1,1,0,0,4,0,0,4
9287,37,〇,渡邊 拓実,PG,21:19,3,1,6,16.7%,1,5,20.0%,0,0,-,0,0,0,1,0,2,1,0,3,0,0,2
15810,38,-,宮脇 隼人,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12648,40,〇,ジョーダン・フェイゾン,C,35:54,15,4,10,40.0%,0,2,0.0%,7,10,70.0%,2,6,8,5,4,2,1,2,3,0,0,18
12609,81,-,石川 尚樹,PG,03:16,3,1,2,50.0%,1,1,100.0%,0,0,-,0,1,1,0,1,0,0,0,2,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,74,27,63,42.9%,6,25,24.0%,14,20,70.0%,9,27,36,11,18,8,3,6,30,0,0,72
