id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8715,5,-,千葉 慎也,SF,10:52,0,0,0,-,0,0,-,0,0,-,0,1,1,0,2,0,0,0,2,0,0,-1
26933,8,〇,アッサン・ジョップ,C,29:55,10,5,8,62.5%,0,1,0.0%,0,0,-,6,7,13,2,1,0,0,0,3,0,0,21
10881,10,-,仁平 拓海,PF,08:48,0,0,1,0.0%,0,0,-,0,0,-,0,2,2,1,1,1,0,0,0,0,0,2
33080,12,-,エリック・マッカーサー・ジュニア,PF,10:05,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,2,0,0,1
8562,13,〇,小松 秀平,SG,18:07,9,3,10,30.0%,3,9,33.3%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,3
9068,15,〇,谷口 淳,SF/PF,17:55,3,1,2,50.0%,1,2,50.0%,0,0,-,1,2,3,2,2,2,2,0,2,0,0,9
9234,16,-,伊藤 良太,PG,16:38,4,2,5,40.0%,0,0,-,0,0,-,1,1,2,1,1,0,0,0,1,0,0,3
32975,30,-,横川 俊樹,PG,21:08,13,5,9,55.6%,3,4,75.0%,0,0,-,0,2,2,1,3,2,0,0,2,0,0,11
8842,31,〇,髙畠 佳介,SG,26:32,2,1,5,20.0%,0,3,0.0%,0,1,0.0%,0,0,0,6,6,1,0,0,5,0,0,-2
9435,34,〇,カイル・リチャードソン,C,40:00,30,11,20,55.0%,1,3,33.3%,7,9,77.8%,4,15,19,2,5,0,0,0,2,0,0,35
36514,41,-,鈴木 翔太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,71,28,60,46.7%,8,22,36.4%,7,10,70.0%,12,35,47,15,23,6,2,0,19,0,0,83
