id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9399,0,-,山田 安斗夢,PG,28:25,23,8,16,50.0%,5,9,55.6%,2,2,100.0%,2,1,3,3,2,4,1,1,4,0,0,24
36855,1,〇,山下 颯,SG,24:41,8,3,5,60.0%,2,4,50.0%,0,0,-,0,4,4,4,2,0,0,0,1,0,0,12
15846,6,-,松尾 啓輔,SF,06:35,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,1,0,0,0,-3
36862,7,〇,ニック・エヴァンス,C,24:08,6,3,7,42.9%,0,2,0.0%,0,0,-,0,6,6,1,5,0,0,0,5,0,0,4
36863,8,-,土居 光,SG,03:20,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-2
30440,10,-,原田 剛成,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8545,11,〇,山口 力也,SG,23:34,6,2,9,22.2%,2,7,28.6%,0,0,-,1,1,2,3,2,2,0,1,1,0,0,4
36864,12,〇,ロバート・サンプソン,PF,31:57,18,8,12,66.7%,2,6,33.3%,0,1,0.0%,1,11,12,0,1,1,3,0,4,0,0,28
9457,23,〇,モーガン・ヒカル・エイケン,PG,14:34,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,5,2,2,0,0,3,0,0,4
18412,25,-,田中 幸之介,PG,09:32,3,1,5,20.0%,1,4,25.0%,0,0,-,1,1,2,1,2,0,0,1,1,0,0,0
36865,64,-,井手 優希,PG,15:54,2,1,3,33.3%,0,2,0.0%,0,2,0.0%,0,0,0,1,2,0,0,0,2,0,0,-3
25278,94,-,延原 慎,PF,17:20,5,2,3,66.7%,0,0,-,1,2,50.0%,1,2,3,0,0,0,0,0,3,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,71,28,66,42.4%,12,39,30.8%,3,7,42.9%,9,28,37,18,18,9,4,4,25,0,0,79
