id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18178,0,-,関口 サムエル,SG,05:20,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,0,0,1,0,0,0,0,0,1
20015,6,〇,尾形 界龍,SG,33:17,14,5,10,50.0%,3,4,75.0%,1,2,50.0%,7,0,7,2,0,2,1,2,2,0,0,20
12452,7,-,小川 京介,PG,06:38,0,0,2,0.0%,0,2,0.0%,0,0,-,0,2,2,0,0,1,0,0,0,0,0,1
8678,8,-,枡田 祐介,SG,14:45,8,3,5,60.0%,2,3,66.7%,0,0,-,0,0,0,0,0,0,0,0,3,0,0,6
9447,10,-,清水 隆平,PG,10:29,0,0,2,0.0%,0,0,-,0,0,-,1,1,2,0,1,0,0,0,1,0,0,-1
32974,11,〇,長澤 亮太,SF,15:15,0,0,2,0.0%,0,2,0.0%,0,0,-,0,3,3,2,0,1,0,0,3,0,0,4
36345,13,〇,チャンセラー・ゲッティーズ,C,33:57,17,5,17,29.4%,1,7,14.3%,6,7,85.7%,5,7,12,5,3,1,2,0,1,0,0,21
39534,22,-,ミトロヴィチュ・アレクサンダ,SF,03:22,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
30346,23,〇,フィリップ・アブ,PF,36:38,18,6,16,37.5%,0,3,0.0%,6,7,85.7%,4,10,14,5,3,0,0,0,3,0,0,23
30459,47,〇,平良 彰吾,PG,29:31,6,2,16,12.5%,1,8,12.5%,1,2,50.0%,0,1,1,2,1,3,0,0,2,0,0,-4
12660,50,-,ジージオ・ベイン,C,06:03,2,1,3,33.3%,0,0,-,0,0,-,2,0,2,0,0,0,0,1,3,0,0,2
8622,55,-,伊澤 実孝,SF,04:45,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,67,23,77,29.9%,7,31,22.6%,14,18,77.8%,20,25,45,16,9,9,3,3,19,0,0,73
