id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9074,1,〇,樋口 真斗,SG,19:43,4,1,2,50.0%,0,0,-,2,3,66.7%,0,2,2,2,7,0,0,0,2,0,0,-1
36853,3,-,前村 雄大,PG,12:39,7,2,3,66.7%,1,1,100.0%,2,3,66.7%,0,3,3,1,2,1,0,1,0,0,0,8
9398,4,〇,ジェフリー・パーマー,PF,29:55,15,5,11,45.5%,2,4,50.0%,3,3,100.0%,1,9,10,6,1,1,0,0,1,0,0,25
8566,9,-,川満 寿史,SF,11:18,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,0,2
12637,10,-,ハンター・コート,PG,02:25,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,1,0,0,1,0,0,1
9432,14,-,チュクゥディエベレ・マドゥアバム,C,26:43,14,5,7,71.4%,0,0,-,4,6,66.7%,0,4,4,3,2,0,3,1,3,0,0,18
25272,15,〇,若狭 功希,SF,18:11,6,2,5,40.0%,1,2,50.0%,1,4,25.0%,0,0,0,0,5,3,0,0,5,0,0,-2
25273,16,-,小堺 翼,SF,18:12,8,3,6,50.0%,2,5,40.0%,0,0,-,0,2,2,0,1,1,0,0,0,0,0,7
26883,17,-,岩松 永太郎,PG,07:29,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,1,0,1,0,0,0,0,0,2
25274,18,〇,岡田 陸人,PG,12:40,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,2,0,0,4,0,0,1
25275,22,-,向井 祐介,SG,17:23,8,2,4,50.0%,2,3,66.7%,2,2,100.0%,0,0,0,0,1,0,0,0,1,0,0,5
12607,31,〇,クリストファー・オリビエ,PF,23:22,12,6,10,60.0%,0,1,0.0%,0,1,0.0%,1,3,4,1,3,1,0,1,2,0,0,10
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,6,9,0,0,0,0,0,0,0,0,9
,,,合計,,200:00,76,27,53,50.9%,8,17,47.1%,14,22,63.6%,5,30,35,17,23,11,3,3,20,0,0,85
