id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,-,上田 雅也,SG,14:06,0,0,1,0.0%,0,0,-,0,0,-,0,2,2,2,0,1,0,0,0,0,0,4
36794,1,〇,ジョン・フィールズ３世,PF,11:44,17,8,8,100.0%,0,0,-,1,2,50.0%,3,5,8,0,2,0,0,0,4,0,0,22
12619,2,〇,山口 健大,SF,13:57,2,0,1,0.0%,0,0,-,2,2,100.0%,1,0,1,0,0,0,0,0,4,0,0,2
9241,3,〇,亀崎 光博,SF,14:36,5,2,2,100.0%,1,1,100.0%,0,0,-,0,0,0,0,2,0,0,0,1,0,0,3
8669,5,-,古橋 広樹,SG,16:14,2,1,5,20.0%,0,3,0.0%,0,0,-,0,1,1,1,2,0,1,0,2,0,0,-1
15831,6,-,新号 健,PG,23:07,6,2,5,40.0%,1,4,25.0%,1,2,50.0%,1,2,3,2,1,0,0,0,2,0,0,6
12591,23,〇,ジュフ・バンバ,PF,19:36,10,5,9,55.6%,0,1,0.0%,0,0,-,0,5,5,4,1,1,0,0,1,0,0,15
9448,24,-,アンドレ・マレー,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8758,54,-,澤地 サミュエル ジュニア,PF,14:52,8,3,4,75.0%,1,1,100.0%,1,1,100.0%,0,2,2,0,2,0,0,0,3,0,0,7
9262,77,〇,大金 広弥,PG,15:01,7,2,3,66.7%,1,1,100.0%,2,5,40.0%,1,1,2,5,2,1,0,0,2,0,0,9
25263,88,-,クリストファー・ウォッシュバーンJr.,PF,33:48,29,7,15,46.7%,4,9,44.4%,11,11,100.0%,0,6,6,6,5,2,0,0,2,0,0,30
10854,99,-,大城 侑朔,PG,22:59,9,3,7,42.9%,2,3,66.7%,1,2,50.0%,0,1,1,1,1,1,0,0,2,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,95,33,60,55.0%,10,23,43.5%,19,25,76.0%,6,27,33,21,19,6,1,0,23,0,0,104
