id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
39442,0,-,古河 ウェスリー,PF,03:58,3,0,0,-,0,0,-,3,4,75.0%,0,1,1,0,0,0,0,0,1,0,0,3
36339,2,〇,ママドゥ・グアイ,PF,31:31,16,6,13,46.2%,3,6,50.0%,1,2,50.0%,1,9,10,4,1,0,0,0,2,0,0,21
22403,4,〇,塚本 雄貴,PG,22:07,10,3,5,60.0%,2,4,50.0%,2,5,40.0%,0,3,3,3,2,0,0,0,2,0,0,9
30458,8,-,荒川 颯,PG,16:47,11,4,11,36.4%,1,6,16.7%,2,3,66.7%,0,1,1,2,0,0,0,1,1,0,0,6
8548,9,-,長谷川 凌,PF,09:21,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,0,1,1,0,1,1,0,0,0
36572,11,〇,アイザック・コープランド,PF,30:33,20,8,10,80.0%,4,4,100.0%,0,0,-,3,2,5,1,0,2,1,0,1,0,0,27
30466,14,-,佐藤 誠人,SF,11:26,6,2,4,50.0%,2,4,50.0%,0,0,-,0,3,3,0,0,0,0,0,0,0,0,7
8465,22,-,樋口 大倫,PF,13:17,4,1,2,50.0%,0,0,-,2,2,100.0%,0,1,1,1,0,0,1,1,3,0,0,6
30516,24,〇,大﨑 翔太,SF,23:54,15,5,10,50.0%,1,3,33.3%,4,5,80.0%,0,3,3,4,0,0,0,0,2,0,0,16
8708,33,-,宮田 諭,PG,06:58,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,2,0,0,1,0,1,0,0,3
10891,41,-,小倉 渓,PF,01:34,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9365,51,〇,田口 暖,PG,28:34,4,2,4,50.0%,0,1,0.0%,0,0,-,0,2,2,1,0,4,0,0,2,0,0,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
,,,合計,,200:00,91,32,63,50.8%,13,29,44.8%,14,21,66.7%,4,26,30,18,5,7,3,3,16,0,0,106
