id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9071,2,〇,ウィル・クリークモア,PF,35:10,17,7,12,58.3%,1,4,25.0%,2,3,66.7%,2,10,12,11,2,0,0,0,3,0,0,32
36850,6,〇,ライアン・ワトキンス,C,36:14,22,9,19,47.4%,4,10,40.0%,0,0,-,1,10,11,3,1,2,0,0,1,0,0,27
22395,7,〇,長島 蓮,PG,21:39,7,3,5,60.0%,0,0,-,1,2,50.0%,0,2,2,6,1,0,0,0,1,0,0,11
15824,8,〇,新川 敬大,SG,18:05,4,2,4,50.0%,0,2,0.0%,0,0,-,1,2,3,2,0,1,0,0,2,0,0,8
10892,9,-,中野 広大,SG,21:55,7,2,6,33.3%,1,3,33.3%,2,2,100.0%,0,2,2,1,0,3,0,1,1,0,0,9
8600,11,-,岡本 将大,PG,05:33,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,0,3
8480,14,〇,佐藤 文哉,SG,23:04,22,9,16,56.3%,4,10,40.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,14
8544,15,-,下山 貴裕,PF,08:36,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2,0,0,-1
36420,21,-,野原 暉央,SG,16:56,12,5,6,83.3%,2,3,66.7%,0,0,-,2,0,2,0,0,1,0,0,0,0,0,14
15836,32,-,吉川 治耀,PG,12:48,10,4,7,57.1%,2,4,50.0%,0,1,0.0%,0,3,3,1,1,0,0,0,0,0,0,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,5,7,0,0,0,0,0,0,0,0,7
,,,合計,,200:00,103,42,76,55.3%,14,36,38.9%,5,8,62.5%,8,34,42,25,7,7,0,1,12,0,0,133
