id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
20029,1,-,髙田 颯斗,PG,08:06,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,1,0,1,2,1,2,0,0,3,0,0,5
9294,3,〇,藤田 兼士朗,SF,12:22,2,1,5,20.0%,0,0,-,0,0,-,2,2,4,0,1,0,0,0,4,0,0,1
9296,10,〇,柳内 龍馬,SG,16:00,1,0,1,0.0%,0,0,-,1,2,50.0%,3,0,3,2,0,3,0,0,2,0,0,7
37929,14,-,平尾 剣弥,PG,28:32,14,2,7,28.6%,0,4,0.0%,10,13,76.9%,0,1,1,0,1,1,0,0,2,0,0,7
36796,21,〇,ジェイレン・ビルップス,PF,28:12,24,9,18,50.0%,4,8,50.0%,2,4,50.0%,2,9,11,1,4,0,2,0,4,0,0,23
10857,23,-,國分 大輔,SF,17:46,3,1,3,33.3%,0,0,-,1,2,50.0%,1,1,2,1,2,0,0,0,0,0,0,1
9434,24,-,ジョセフ・ウォルフィンガー,C,05:56,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,3,0,0,0
9303,25,-,立野 俊史,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9304,26,-,井林 宥輔,PF,21:37,9,3,13,23.1%,2,7,28.6%,1,2,50.0%,1,0,1,1,0,0,0,1,4,0,0,0
15827,33,〇,竹村 蓮,PG,30:05,7,1,10,10.0%,0,5,0.0%,5,7,71.4%,1,3,4,5,3,0,0,2,3,0,0,2
37930,52,-,溝口 月斗,PF,11:53,4,1,1,100.0%,0,0,-,2,2,100.0%,1,2,3,1,0,0,0,0,3,0,0,8
15841,71,〇,東 宏輝,SG,19:31,2,1,5,20.0%,0,3,0.0%,0,0,-,1,3,4,1,1,2,0,1,3,0,0,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,1,0,0,1
,,,合計,,200:00,70,20,66,30.3%,6,29,20.7%,24,34,70.6%,14,23,37,14,16,8,2,4,32,0,0,59
