id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18178,0,-,関口 サムエル,SG,08:54,3,1,4,25.0%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
20015,6,〇,尾形 界龍,SG,24:29,8,3,7,42.9%,2,6,33.3%,0,0,-,0,1,1,3,1,1,1,0,3,0,0,9
12452,7,-,小川 京介,PG,12:32,6,2,3,66.7%,2,2,100.0%,0,0,-,1,0,1,1,0,1,0,1,0,0,0,8
8678,8,〇,枡田 祐介,SG,17:23,4,2,5,40.0%,0,1,0.0%,0,0,-,1,1,2,1,0,1,0,1,4,0,0,5
9447,10,-,清水 隆平,PG,11:47,0,0,0,-,0,0,-,0,0,-,1,2,3,3,1,1,0,0,1,0,0,6
32974,11,-,長澤 亮太,SF,16:42,7,3,8,37.5%,0,4,0.0%,1,1,100.0%,3,1,4,1,0,0,0,0,1,0,0,7
12651,21,-,高橋 健太,PG,07:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
30346,23,〇,フィリップ・アブ,PF,17:49,12,5,9,55.6%,0,0,-,2,3,66.7%,3,1,4,1,4,2,0,0,4,0,0,10
30522,24,-,鈴木 悠介,PF,25:09,11,3,11,27.3%,0,3,0.0%,5,7,71.4%,1,2,3,1,0,0,0,0,4,0,0,5
30459,47,〇,平良 彰吾,PG,21:13,12,5,13,38.5%,2,5,40.0%,0,0,-,0,1,1,4,2,0,0,1,2,0,0,7
12660,50,〇,ジージオ・ベイン,C,37:02,9,4,7,57.1%,0,0,-,1,1,100.0%,1,1,2,1,2,1,2,2,1,0,0,10
8622,55,-,伊澤 実孝,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,4,8,0,3,0,0,0,0,0,0,5
,,,合計,,200:00,72,28,67,41.8%,7,24,29.2%,9,12,75.0%,15,15,30,16,13,7,3,5,21,0,0,73
