id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,2,〇,ロバート・ドジャー,PF,24:56,19,7,13,53.8%,1,2,50.0%,4,4,100.0%,3,5,8,3,1,2,1,1,2,0,0,26
9311,6,〇,小林 大祐,SF,23:52,15,6,7,85.7%,1,1,100.0%,2,3,66.7%,1,1,2,5,1,2,0,1,2,0,0,21
18171,8,-,紺野 ニズベット 翔,SF,02:51,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,1
36852,9,-,藤本 巧太,PG,16:07,8,3,4,75.0%,1,1,100.0%,1,1,100.0%,2,0,2,1,1,1,0,1,2,0,0,10
8729,10,-,岡田 優介,SG,13:52,6,1,7,14.3%,1,7,14.3%,3,3,100.0%,0,0,0,0,1,0,0,0,0,0,0,-1
8520,11,〇,杉本 慶,SG,31:17,11,4,5,80.0%,2,2,100.0%,1,2,50.0%,0,4,4,5,3,2,0,0,1,0,0,17
20019,15,-,鶴田 美勇士,PF,02:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,0,1
15839,22,-,秋山 熙,PG,04:19,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-3
8449,24,〇,大塚 裕土,SG,28:27,8,2,5,40.0%,2,5,40.0%,2,2,100.0%,0,1,1,4,3,0,0,0,1,0,0,7
10823,30,〇,イバン・ラベネル,C,29:26,25,10,17,58.8%,2,6,33.3%,3,3,100.0%,0,6,6,5,0,2,0,0,3,0,0,31
39531,32,-,野口 龍太郎,SF,02:06,4,1,3,33.3%,0,0,-,2,2,100.0%,0,1,1,0,0,0,0,2,0,0,0,3
8762,42,-,ケビン・コッツァー,C,20:41,5,2,3,66.7%,0,0,-,1,1,100.0%,0,7,7,3,1,0,0,0,0,0,0,13
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,101,36,67,53.7%,10,26,38.5%,19,21,90.5%,7,28,35,27,11,10,1,5,11,0,0,130
