id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9399,0,-,山田 安斗夢,PG,17:22,8,3,7,42.9%,1,3,33.3%,1,3,33.3%,1,1,2,1,1,0,0,0,3,0,0,4
36855,1,〇,山下 颯,SG,23:09,11,5,6,83.3%,1,2,50.0%,0,1,0.0%,0,2,2,2,3,3,0,0,0,0,0,13
15846,6,-,松尾 啓輔,SF,13:52,4,0,0,-,0,0,-,4,5,80.0%,1,3,4,0,0,0,1,0,3,0,0,8
36862,7,〇,ニック・エヴァンス,C,27:18,12,5,13,38.5%,1,1,100.0%,1,2,50.0%,3,8,11,2,2,0,2,0,2,0,0,16
36863,8,-,土居 光,SG,16:51,7,3,10,30.0%,0,4,0.0%,1,1,100.0%,1,0,1,0,0,1,0,0,1,0,0,2
30440,10,〇,原田 剛成,PG,08:24,2,0,1,0.0%,0,0,-,2,2,100.0%,0,0,0,0,0,2,0,0,2,0,0,3
8545,11,〇,山口 力也,SG,19:41,9,4,8,50.0%,1,3,33.3%,0,0,-,0,2,2,1,0,1,0,0,3,0,0,9
36864,12,〇,ロバート・サンプソン,PF,25:18,14,6,12,50.0%,0,2,0.0%,2,4,50.0%,2,13,15,1,2,1,0,0,0,0,0,21
9457,23,-,モーガン・ヒカル・エイケン,PG,10:27,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,0
18412,25,-,田中 幸之介,PG,09:03,0,0,2,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,2,0,1,0,0,2
36865,64,-,井手 優希,PG,16:21,10,4,11,36.4%,1,3,33.3%,1,1,100.0%,3,0,3,1,0,2,0,0,1,0,0,9
25278,94,-,延原 慎,PF,12:14,0,0,4,0.0%,0,0,-,0,0,-,2,4,6,1,0,0,0,1,2,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,77,30,74,40.5%,5,18,27.8%,12,19,63.2%,15,36,51,9,9,10,5,1,19,0,0,92
