id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9071,2,〇,ウィル・クリークモア,PF,30:12,14,2,11,18.2%,1,3,33.3%,9,12,75.0%,5,8,13,7,1,1,1,0,4,0,0,23
18446,5,-,モガ・ラド,SF,12:05,6,2,3,66.7%,0,0,-,2,2,100.0%,0,2,2,0,0,1,0,0,0,0,0,8
36850,6,〇,ライアン・ワトキンス,C,36:03,16,5,15,33.3%,1,6,16.7%,5,8,62.5%,3,13,16,3,1,1,0,0,2,0,0,22
22395,7,〇,長島 蓮,PG,20:07,7,3,5,60.0%,0,1,0.0%,1,3,33.3%,2,2,4,1,2,0,0,0,3,0,0,6
15824,8,〇,新川 敬大,SG,23:11,8,3,5,60.0%,1,2,50.0%,1,2,50.0%,1,1,2,0,1,1,0,0,1,0,0,7
10892,9,-,中野 広大,SG,21:03,18,5,9,55.6%,5,8,62.5%,3,4,75.0%,0,2,2,0,0,1,0,1,0,0,0,16
8600,11,-,岡本 将大,PG,13:01,6,2,4,50.0%,1,3,33.3%,1,2,50.0%,1,0,1,1,0,0,0,0,1,0,0,5
8480,14,〇,佐藤 文哉,SG,20:41,11,4,10,40.0%,1,4,25.0%,2,2,100.0%,1,3,4,0,0,0,0,1,0,0,0,9
36420,21,-,野原 暉央,SG,03:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,0,1
15836,32,-,吉川 治耀,PG,20:32,6,2,7,28.6%,0,3,0.0%,2,3,66.7%,2,1,3,3,2,2,0,0,3,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,5,0,0,0,0,0,0,-3
,,,合計,,200:00,92,28,69,40.6%,10,30,33.3%,26,38,68.4%,16,33,49,15,12,8,1,2,14,0,0,100
