id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9311,6,〇,小林 大祐,SF,19:48,6,2,4,50.0%,0,0,-,2,2,100.0%,0,2,2,2,1,2,0,2,1,0,0,9
18171,8,-,紺野 ニズベット 翔,SF,04:06,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
36852,9,-,藤本 巧太,PG,12:13,5,2,4,50.0%,1,2,50.0%,0,0,-,2,0,2,1,0,1,0,0,2,0,0,7
8729,10,-,岡田 優介,SG,16:32,8,3,5,60.0%,2,4,50.0%,0,0,-,0,0,0,2,2,0,0,0,2,0,0,6
8520,11,〇,杉本 慶,SG,23:57,5,1,7,14.3%,0,4,0.0%,3,4,75.0%,2,1,3,0,0,1,0,0,3,0,0,2
10897,13,〇,レオ・ライオンズ,PF,28:14,17,5,9,55.6%,2,4,50.0%,5,6,83.3%,1,6,7,3,0,3,0,0,0,0,0,25
20019,15,-,鶴田 美勇士,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15839,22,-,秋山 熙,PG,18:24,10,4,6,66.7%,2,3,66.7%,0,0,-,1,1,2,4,1,2,0,0,1,0,0,15
8449,24,〇,大塚 裕土,SG,25:45,13,5,11,45.5%,3,7,42.9%,0,0,-,0,1,1,1,1,0,0,0,0,0,0,8
10823,30,〇,イバン・ラベネル,C,32:54,18,7,12,58.3%,1,3,33.3%,3,4,75.0%,2,4,6,1,1,2,0,0,3,0,0,20
8762,42,-,ケビン・コッツァー,C,18:07,8,4,5,80.0%,0,1,0.0%,0,0,-,0,2,2,4,1,1,0,0,1,0,0,13
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,0,0,0,1
,,,合計,,200:00,90,33,64,51.6%,11,28,39.3%,13,16,81.3%,9,19,28,18,9,12,0,2,13,0,0,105
