id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9074,1,〇,樋口 真斗,SG,20:42,22,8,13,61.5%,4,7,57.1%,2,3,66.7%,1,5,6,3,2,2,0,0,1,0,0,25
36853,3,-,前村 雄大,PG,12:26,2,1,3,33.3%,0,1,0.0%,0,2,0.0%,0,1,1,1,4,0,0,1,3,0,0,-4
9398,4,〇,ジェフリー・パーマー,PF,29:45,7,2,6,33.3%,1,1,100.0%,2,4,50.0%,2,4,6,2,0,1,0,0,2,0,0,10
8566,9,-,川満 寿史,SF,12:11,3,1,4,25.0%,1,2,50.0%,0,0,-,0,1,1,2,0,0,0,1,2,0,0,3
12637,10,-,ハンター・コート,PG,10:43,3,1,2,50.0%,0,0,-,1,1,100.0%,1,1,2,3,0,0,0,0,0,0,0,7
15837,11,-,水谷 槙之介,PG,04:56,2,1,3,33.3%,0,1,0.0%,0,0,-,0,2,2,0,0,0,0,0,3,0,0,2
9432,14,-,チュクゥディエベレ・マドゥアバム,C,19:57,9,4,4,100.0%,0,0,-,1,3,33.3%,3,3,6,1,1,0,1,0,3,0,0,14
25272,15,〇,若狭 功希,SF,19:19,7,1,3,33.3%,1,2,50.0%,4,4,100.0%,1,1,2,1,0,0,0,1,3,0,0,8
26883,17,-,岩松 永太郎,PG,15:59,2,1,4,25.0%,0,0,-,0,0,-,1,3,4,0,0,1,0,0,2,0,0,4
25275,22,〇,向井 祐介,SG,23:44,7,1,6,16.7%,1,3,33.3%,4,4,100.0%,0,2,2,1,1,0,0,0,2,0,0,4
36419,23,-,サンブ・アンドレ,C,03:18,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,3
12607,31,〇,クリストファー・オリビエ,PF,27:00,23,9,17,52.9%,1,2,50.0%,4,5,80.0%,4,3,7,0,3,0,2,0,2,0,0,20
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1,0,0,2
,,,合計,,200:00,89,31,66,47.0%,9,19,47.4%,18,26,69.2%,13,29,42,14,11,4,3,3,24,0,0,98
