id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
20029,1,-,髙田 颯斗,PG,05:07,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9294,3,〇,藤田 兼士朗,SF,21:39,6,3,5,60.0%,0,0,-,0,0,-,1,3,4,1,0,0,0,0,4,0,0,9
9296,10,-,柳内 龍馬,SG,13:59,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,1,1,1,0,0,5,0,0,3
37929,14,-,平尾 剣弥,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9298,17,-,隅廣 英二,PG,12:46,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,1
36796,21,〇,ジェイレン・ビルップス,PF,34:25,17,8,20,40.0%,0,2,0.0%,1,2,50.0%,4,3,7,1,2,0,1,0,1,0,0,11
9434,24,-,ジョセフ・ウォルフィンガー,C,05:35,2,1,2,50.0%,0,0,-,0,0,-,1,2,3,0,0,0,0,0,4,0,0,4
9303,25,-,立野 俊史,SG,07:27,5,2,2,100.0%,0,0,-,1,1,100.0%,0,0,0,0,2,0,0,0,2,0,0,3
9304,26,-,井林 宥輔,PF,06:09,2,1,4,25.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
15827,33,〇,竹村 蓮,PG,27:14,19,5,11,45.5%,2,6,33.3%,7,9,77.8%,0,0,0,5,0,1,0,0,4,0,0,17
36345,34,〇,チャンセラー・ゲッティーズ,39:36,17,6,16,37.5%,1,6,16.7%,4,5,80.0%,1,8,9,5,2,2,2,0,1,0,0,22,
15841,71,〇,東 宏輝,SG,26:03,6,2,8,25.0%,1,4,25.0%,1,2,50.0%,1,0,1,1,1,1,0,1,0,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,78,30,72,41.7%,4,18,22.2%,14,19,73.7%,9,21,30,14,9,5,3,1,23,0,0,74
