id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18424,1,-,ブライアン・ヴォールケル,PF,19:02,16,4,10,40.0%,3,7,42.9%,5,5,100.0%,1,6,7,5,2,2,0,0,5,0,0,22
9071,2,〇,ウィル・クリークモア,PF,31:22,22,8,16,50.0%,3,5,60.0%,3,6,50.0%,1,4,5,3,0,0,1,1,4,0,0,20
36850,6,〇,ライアン・ワトキンス,C,29:30,12,6,16,37.5%,0,2,0.0%,0,3,0.0%,5,5,10,5,3,1,0,0,3,0,0,12
15824,8,〇,新川 敬大,SG,18:52,6,2,5,40.0%,2,5,40.0%,0,0,-,0,2,2,0,1,0,0,0,0,0,0,4
10892,9,-,中野 広大,SG,15:28,6,3,3,100.0%,0,0,-,0,0,-,0,1,1,2,0,1,0,0,3,0,0,10
8600,11,-,岡本 将大,PG,15:09,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,4,0,2,0,0,0,0,0,5
8480,14,〇,佐藤 文哉,SG,27:31,10,4,12,33.3%,2,10,20.0%,0,0,-,0,0,0,0,4,1,0,0,2,0,0,-1
8544,15,-,下山 貴裕,PF,00:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
36420,21,-,野原 暉央,SG,18:09,3,1,4,25.0%,0,3,0.0%,1,3,33.3%,0,1,1,0,0,1,1,0,4,0,0,1
15836,32,〇,吉川 治耀,PG,24:51,2,1,4,25.0%,0,1,0.0%,0,0,-,0,2,2,3,3,1,0,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,8,3,11,0,0,0,0,0,0,0,0,11
,,,合計,,200:00,77,29,71,40.8%,10,33,30.3%,9,17,52.9%,15,24,39,22,13,9,2,1,22,0,0,86
