id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,2,〇,ロバート・ドジャー,PF,30:38,19,6,13,46.2%,0,1,0.0%,7,9,77.8%,4,3,7,1,2,1,1,1,4,0,0,18
39519,4,-,佐々木 響也,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9311,6,〇,小林 大祐,SF,23:20,9,2,8,25.0%,1,3,33.3%,4,4,100.0%,0,3,3,1,5,1,0,0,1,0,0,3
18171,8,-,紺野 ニズベット 翔,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
36852,9,-,藤本 巧太,PG,19:08,4,2,6,33.3%,0,4,0.0%,0,0,-,0,0,0,5,2,0,0,0,3,0,0,3
8729,10,-,岡田 優介,SG,17:01,16,3,4,75.0%,3,4,75.0%,7,7,100.0%,1,1,2,0,1,0,0,0,1,0,0,16
8520,11,〇,杉本 慶,SG,26:33,4,2,2,100.0%,0,0,-,0,0,-,1,3,4,6,2,2,0,0,2,0,0,14
20019,15,-,鶴田 美勇士,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15839,22,-,秋山 熙,PG,03:29,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
8449,24,〇,大塚 裕土,SG,30:29,4,1,5,20.0%,0,3,0.0%,2,2,100.0%,0,2,2,1,1,1,0,0,3,0,0,3
10823,30,〇,イバン・ラベネル,C,29:27,17,6,9,66.7%,0,1,0.0%,5,5,100.0%,2,4,6,1,3,1,1,0,4,0,0,20
8762,42,-,ケビン・コッツァー,C,19:55,4,2,5,40.0%,0,1,0.0%,0,1,0.0%,1,5,6,0,0,1,0,0,0,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,77,24,52,46.2%,4,17,23.5%,25,28,89.3%,10,26,36,15,17,7,2,1,18,0,0,89
