id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,27:38,8,2,7,28.6%,0,2,0.0%,4,6,66.7%,0,1,1,2,0,1,0,0,4,0,0,5
36794,1,〇,ジョン・フィールズ３世,PF,31:57,18,5,12,41.7%,0,0,-,8,11,72.7%,10,9,19,2,5,0,2,1,4,0,0,26
12619,2,〇,山口 健大,SF,17:13,6,2,4,50.0%,0,0,-,2,3,66.7%,1,2,3,0,0,0,0,1,1,0,0,6
8669,5,-,古橋 広樹,SG,15:22,4,2,5,40.0%,0,2,0.0%,0,0,-,1,1,2,1,0,0,1,0,1,0,0,5
15831,6,-,新号 健,PG,23:17,8,3,5,60.0%,2,3,66.7%,0,0,-,0,2,2,5,1,0,0,0,4,0,0,12
39517,13,-,本多 青,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12591,23,-,ジュフ・バンバ,PF,14:48,4,2,4,50.0%,0,0,-,0,0,-,1,3,4,0,2,0,0,1,4,0,0,4
8758,54,-,澤地 サミュエル ジュニア,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9262,77,〇,大金 広弥,PG,23:25,11,3,6,50.0%,1,1,100.0%,4,6,66.7%,0,0,0,0,0,1,0,0,2,0,0,7
25263,88,〇,クリストファー・ウォッシュバーンJr.,PF,33:15,17,6,18,33.3%,2,10,20.0%,3,3,100.0%,1,6,7,3,2,2,0,0,2,0,0,15
39524,91,-,森川 凌,PG,00:40,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
10854,99,-,大城 侑朔,PG,12:25,0,0,2,0.0%,0,1,0.0%,0,0,-,0,2,2,0,0,0,0,0,3,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,2,0,0,0,0,0,0,2
,,,合計,,200:00,76,25,64,39.1%,5,20,25.0%,21,29,72.4%,14,30,44,13,12,4,3,3,26,0,0,81
