id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18178,0,-,関口 サムエル,SG,19:08,2,1,8,12.5%,0,4,0.0%,0,0,-,0,2,2,0,0,1,0,2,1,0,0,-2
20015,6,〇,尾形 界龍,SG,25:12,6,3,9,33.3%,0,5,0.0%,0,0,-,3,0,3,1,3,0,0,0,3,0,0,1
12452,7,-,小川 京介,PG,16:07,2,1,4,25.0%,0,3,0.0%,0,0,-,0,0,0,1,1,2,0,0,1,0,0,1
8678,8,-,枡田 祐介,SG,02:22,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,1,0,0,1
9447,10,-,清水 隆平,PG,16:56,12,5,8,62.5%,1,3,33.3%,1,1,100.0%,1,1,2,1,0,0,0,0,1,0,0,12
32974,11,〇,長澤 亮太,SF,17:11,3,1,6,16.7%,0,2,0.0%,1,1,100.0%,2,1,3,1,0,0,0,0,4,0,0,2
36345,13,〇,チャンセラー・ゲッティーズ,C,40:00,25,10,17,58.8%,4,6,66.7%,1,5,20.0%,1,10,11,9,5,0,0,0,1,0,0,29
39534,22,-,ミトロヴィチュ・アレクサンダ,SF,05:17,2,1,1,100.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,3
30346,23,-,フィリップ・アブ,PF,05:04,3,1,2,50.0%,0,0,-,1,2,50.0%,0,0,0,0,3,0,0,0,1,0,0,-2
30459,47,〇,平良 彰吾,PG,21:01,5,2,9,22.2%,1,4,25.0%,0,0,-,0,1,1,5,1,0,0,1,5,0,0,3
12660,50,〇,ジージオ・ベイン,C,29:39,9,4,4,100.0%,0,0,-,1,2,50.0%,2,5,7,1,2,0,0,0,2,0,0,14
8622,55,-,伊澤 実孝,SF,02:03,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,69,29,70,41.4%,6,27,22.2%,5,11,45.5%,13,24,37,19,16,4,0,3,21,0,0,66
