id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
36339,2,〇,ママドゥ・グアイ,PF,36:21,23,8,14,57.1%,2,3,66.7%,5,6,83.3%,5,11,16,5,3,1,0,1,1,0,0,35
36573,3,〇,アーネスト・ロス,SF,20:17,5,2,5,40.0%,1,4,25.0%,0,0,-,1,4,5,3,1,2,1,0,1,0,0,12
22403,4,-,塚本 雄貴,PG,22:08,13,5,8,62.5%,3,3,100.0%,0,2,0.0%,2,0,2,5,2,0,0,0,2,0,0,13
30458,8,〇,荒川 颯,PG,13:48,2,1,6,16.7%,0,3,0.0%,0,0,-,0,1,1,2,0,0,0,0,0,0,0,0
8548,9,〇,長谷川 凌,PF,13:04,2,1,2,50.0%,0,0,-,0,0,-,1,0,1,0,0,1,0,0,3,0,0,3
36572,11,-,アイザック・コープランド,PF,23:22,13,5,7,71.4%,1,2,50.0%,2,2,100.0%,0,3,3,2,1,2,1,0,2,0,0,18
30466,14,-,佐藤 誠人,SF,14:10,4,2,4,50.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,2,0,0,1
8465,22,-,樋口 大倫,PF,12:20,7,2,4,50.0%,0,1,0.0%,3,4,75.0%,0,2,2,1,1,2,0,0,2,0,0,8
8707,23,-,齋藤 豊,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
30516,24,〇,大﨑 翔太,SF,26:41,17,4,10,40.0%,4,9,44.4%,5,5,100.0%,3,2,5,2,0,1,0,0,3,0,0,19
8708,33,-,宮田 諭,PG,01:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9365,51,-,田口 暖,PG,16:20,2,0,3,0.0%,0,1,0.0%,2,4,50.0%,1,1,2,3,1,0,0,0,3,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,88,30,63,47.6%,11,28,39.3%,17,23,73.9%,14,25,39,23,12,9,2,1,20,0,0,110
