id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18424,1,-,ブライアン・ヴォールケル,PF,23:04,10,3,6,50.0%,0,1,0.0%,4,5,80.0%,4,14,18,9,1,1,0,1,1,0,0,33
9071,2,〇,ウィル・クリークモア,PF,27:03,28,9,22,40.9%,1,6,16.7%,9,11,81.8%,5,6,11,2,2,0,0,0,3,0,0,24
36850,6,〇,ライアン・ワトキンス,C,19:57,23,10,17,58.8%,0,1,0.0%,3,3,100.0%,8,3,11,1,0,1,1,3,2,0,0,30
22395,7,〇,長島 蓮,PG,21:03,4,2,5,40.0%,0,0,-,0,0,-,1,0,1,5,1,1,0,1,0,0,0,7
15824,8,〇,新川 敬大,SG,17:29,2,0,3,0.0%,0,2,0.0%,2,2,100.0%,5,2,7,0,0,0,0,0,1,0,0,6
10892,9,-,中野 広大,SG,22:31,13,5,10,50.0%,1,5,20.0%,2,2,100.0%,0,3,3,0,1,0,1,0,3,0,0,11
8600,11,-,岡本 将大,PG,20:26,7,3,4,75.0%,0,1,0.0%,1,2,50.0%,0,1,1,1,3,3,0,0,2,0,0,7
8480,14,〇,佐藤 文哉,SG,16:18,11,3,7,42.9%,2,5,40.0%,3,3,100.0%,0,0,0,0,1,0,0,0,0,0,0,6
8544,15,-,下山 貴裕,PF,07:11,4,1,1,100.0%,0,0,-,2,2,100.0%,0,3,3,1,1,1,0,0,2,0,0,8
36420,21,-,野原 暉央,SG,20:20,2,1,5,20.0%,0,3,0.0%,0,0,-,1,1,2,0,0,0,0,0,1,0,0,0
15836,32,-,吉川 治耀,PG,04:38,0,0,0,-,0,0,-,0,2,0.0%,0,0,0,0,1,0,0,0,0,0,0,-3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,3,7,0,2,0,0,0,0,0,0,5
,,,合計,,200:00,104,37,80,46.3%,4,24,16.7%,26,32,81.3%,28,36,64,19,13,7,2,5,15,0,0,134
