id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9311,6,〇,小林 大祐,SF,19:55,7,3,7,42.9%,1,3,33.3%,0,0,-,0,3,3,1,1,2,0,0,1,0,0,8
18171,8,-,紺野 ニズベット 翔,SF,19:40,3,1,2,50.0%,0,0,-,1,2,50.0%,1,3,4,1,1,0,0,0,3,0,0,5
36852,9,-,藤本 巧太,PG,20:06,8,3,9,33.3%,1,4,25.0%,1,2,50.0%,0,4,4,2,4,1,0,1,1,0,0,4
8729,10,-,岡田 優介,SG,17:17,5,2,6,33.3%,0,3,0.0%,1,2,50.0%,2,4,6,1,1,0,0,0,2,0,0,6
8520,11,〇,杉本 慶,SG,24:08,4,1,5,20.0%,0,1,0.0%,2,4,50.0%,0,1,1,1,4,0,0,3,3,0,0,-4
20019,15,-,鶴田 美勇士,PF,02:40,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,0,1,0,0,0,0,0,0,0
15839,22,-,秋山 熙,PG,10:59,3,1,2,50.0%,1,2,50.0%,0,0,-,1,1,2,0,0,1,0,0,0,0,0,5
9488,23,-,ジャマール・ソープ,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8449,24,〇,大塚 裕土,SG,27:35,6,2,8,25.0%,2,6,33.3%,0,0,-,0,0,0,0,2,2,1,0,0,0,0,1
10823,30,〇,イバン・ラベネル,C,30:32,7,3,14,21.4%,1,2,50.0%,0,0,-,1,4,5,1,6,0,1,1,5,0,0,-3
8762,42,〇,ケビン・コッツァー,C,27:08,18,7,8,87.5%,0,0,-,4,4,100.0%,1,10,11,1,0,0,3,0,3,0,0,32
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,61,23,62,37.1%,6,21,28.6%,9,14,64.3%,8,32,40,8,20,6,5,5,18,0,0,56
