id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9336,0,-,大澤 歩,PG,20:45,2,1,1,100.0%,0,0,-,0,0,-,1,1,2,4,2,0,0,0,2,0,0,6
8715,5,〇,千葉 慎也,SF,31:55,3,1,2,50.0%,1,2,50.0%,0,2,0.0%,2,0,2,1,1,0,0,1,3,0,0,2
10881,10,-,仁平 拓海,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
33080,12,-,エリック・マッカーサー・ジュニア,PF,01:22,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
8562,13,-,小松 秀平,SG,13:29,5,2,7,28.6%,1,6,16.7%,0,0,-,0,1,1,0,1,1,0,0,0,0,0,1
9234,16,〇,伊藤 良太,PG,24:24,1,0,3,0.0%,0,0,-,1,2,50.0%,1,4,5,5,2,0,0,0,3,0,0,5
9261,17,-,アレクサンダー・ジョーンズ,C,18:23,12,4,4,100.0%,0,0,-,4,5,80.0%,1,2,3,2,0,1,0,0,4,0,0,17
26917,23,〇,テレンス・キング,PF,26:41,22,7,15,46.7%,0,1,0.0%,8,9,88.9%,5,8,13,1,3,1,1,1,2,0,0,26
32975,30,-,横川 俊樹,PG,12:39,5,2,2,100.0%,0,0,-,1,2,50.0%,0,1,1,3,3,2,0,0,3,0,0,7
8842,31,〇,髙畠 佳介,SG,16:48,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,1,2,1,0,0,1,0,0,-4
9435,34,〇,カイル・リチャードソン,C,32:12,40,15,27,55.6%,0,2,0.0%,10,14,71.4%,7,6,13,1,3,1,0,1,2,0,0,36
9410,51,-,安慶 大樹,PF,01:22,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,5,4,9,0,0,0,0,0,0,0,0,9
,,,合計,,200:00,90,32,65,49.2%,2,13,15.4%,24,34,70.6%,22,28,50,18,17,7,1,3,21,0,0,106
